Formula,PG,First,SG1,Second,SG2
CuN,-43m,Cu,Fm-3m,N,P63/mmc
Cu3N,m-3m,Cu,Fm-3m,N,P63/mmc
CuN,m-3m,Cu,Fm-3m,N,P63/mmc
Cu2O3,m-3,Cu,Fm-3m,O,C12/m1
Cu2O,m-3m,Cu,Fm-3m,O,C12/m1
CuO,4/mmm,Cu,Fm-3m,O,C12/m1
CuO,2/m,Cu,Fm-3m,O,C12/m1
Cu2O3,mm2,Cu,Fm-3m,O,C12/m1
Cu3O2,4/mmm,Cu,Fm-3m,O,C12/m1
CuO,m-3m,Cu,Fm-3m,O,C12/m1
CuP2,2/m,Cu,Fm-3m,P,P-1
Cu3P,6mm,Cu,Fm-3m,P,P-1
Cu3P,-3m,Cu,Fm-3m,P,P-1
Cu3Pd,m-3m,Cu,Fm-3m,Pd,Fm-3m
CuPd,m-3m,Cu,Fm-3m,Pd,Fm-3m
Cu3Pd,4/mmm,Cu,Fm-3m,Pd,Fm-3m
Cu4Pd,4/m,Cu,Fm-3m,Pd,Fm-3m
CuPt7,m-3m,Cu,Fm-3m,Pt,Fm-3m
CuPt,-3m,Cu,Fm-3m,Pt,Fm-3m
Cu3Pt,m-3m,Cu,Fm-3m,Pt,Fm-3m
CuS,mmm,Cu,Fm-3m,S,Fddd
CuS,6/mmm,Cu,Fm-3m,S,Fddd
CuS2,m-3,Cu,Fm-3m,S,Fddd
CuS,-43m,Cu,Fm-3m,S,Fddd
Cu2S,422,Cu,Fm-3m,S,Fddd
Cu2S,m-3m,Cu,Fm-3m,S,Fddd
CuS,m-3m,Cu,Fm-3m,S,Fddd
Cu2S,-42m,Cu,Fm-3m,S,Fddd
Cu2Sb,4/mmm,Cu,Fm-3m,Sb,R-3m
Cu3Sb,mmm,Cu,Fm-3m,Sb,R-3m
CuSe2,mmm,Cu,Fm-3m,Se,P121/c1
Cu3Se2,-42m,Cu,Fm-3m,Se,P121/c1
CuSe,6/mmm,Cu,Fm-3m,Se,P121/c1
CuSe2,m-3,Cu,Fm-3m,Se,P121/c1
CuSe,4/mmm,Cu,Fm-3m,Se,P121/c1
Cu2Se,422,Cu,Fm-3m,Se,P121/c1
Cu2Se,m-3m,Cu,Fm-3m,Se,P121/c1
Cu2Se,-43m,Cu,Fm-3m,Se,P121/c1
Cu3Si,6/mmm,Cu,Fm-3m,Si,Fd-3m
Cu3Si,4/mmm,Cu,Fm-3m,Si,Fd-3m
CuSn,6/mmm,Cu,Fm-3m,Sn,I41/amd
Cu6Sn5,2/m,Cu,Fm-3m,Sn,I41/amd
Cu3Sn,6/mmm,Cu,Fm-3m,Sn,I41/amd
Cu3Sn,mmm,Cu,Fm-3m,Sn,I41/amd
Cu10Sn3,6,Cu,Fm-3m,Sn,I41/amd
Cu3Sn,m-3m,Cu,Fm-3m,Sn,I41/amd
CuTe,mmm,Cu,Fm-3m,Te,P3121
ZnAg3,m-3m,Zn,P63/mmc,Ag,Fm-3m
ZnAg,m-3m,Zn,P63/mmc,Ag,Fm-3m
Zn3As2,4/mmm,Zn,P63/mmc,As,R-3m
ZnAs2,2/m,Zn,P63/mmc,As,R-3m
Zn3As2,m-3m,Zn,P63/mmc,As,R-3m
ZnAs3,m-3m,Zn,P63/mmc,As,R-3m
ZnAu3,mmm,Zn,P63/mmc,Au,Fm-3m
ZnAu,m-3m,Zn,P63/mmc,Au,Fm-3m
Zn3B,4/mmm,Zn,P63/mmc,B,R-3m
Zn3B,m-3m,Zn,P63/mmc,B,R-3m
ZnBi,mmm,Zn,P63/mmc,Bi,C12/m1
ZnBi3,4/mmm,Zn,P63/mmc,Bi,C12/m1
ZnBr2,-3m,Zn,P63/mmc,Br,Cmca
Zn3C,m-3m,Zn,P63/mmc,C,P63/mmc
Zn3C,4/mmm,Zn,P63/mmc,C,P63/mmc
Zn3Cd,4/mmm,Zn,P63/mmc,Cd,P63/mmc
ZnCl2,-42m,Zn,P63/mmc,Cl,Cmca
ZnCl2,mm2,Zn,P63/mmc,Cl,Cmca
ZnCl2,4/mmm,Zn,P63/mmc,Cl,Cmca
Zn3Co,m-3m,Zn,P63/mmc,Co,P63/mmc
Zn3Co,4/mmm,Zn,P63/mmc,Co,P63/mmc
ZnCo3,m-3m,Zn,P63/mmc,Co,P63/mmc
ZnCr3,m-3m,Zn,P63/mmc,Cr,Im-3m
Zn3Cu,6/mmm,Zn,P63/mmc,Cu,Fm-3m
ZnCu,m-3m,Zn,P63/mmc,Cu,Fm-3m
ZnF2,4/mmm,Zn,P63/mmc,F,C12/c1
ZnF2,mmm,Zn,P63/mmc,F,C12/c1
Zn13Fe,2/m,Zn,P63/mmc,Fe,Im-3m
ZnGa3,m-3m,Zn,P63/mmc,Ga,Cmca
Zn3Ge,4/mmm,Zn,P63/mmc,Ge,Fm-3m
ZnGe3,m-3m,Zn,P63/mmc,Ge,Fm-3m
ZnHg3,m-3m,Zn,P63/mmc,Hg,R-3m
ZnHg3,m-3m,Zn,P63/mmc,Hg,R-3m
ZnI2,6/mmm,Zn,P63/mmc,I,Cmca
Zn3Ir,4/mmm,Zn,P63/mmc,Ir,Fm-3m
Zn6Mo,m-3m,Zn,P63/mmc,Mo,Im-3m
Zn7Mo,m-3m,Zn,P63/mmc,Mo,Im-3m
ZnMo3,m-3m,Zn,P63/mmc,Mo,Im-3m
Zn3N2,m-3,Zn,P63/mmc,N,P63/mmc
Zn3N2,mmm,Zn,P63/mmc,N,P63/mmc
ZnN,-43m,Zn,P63/mmc,N,P63/mmc
ZnN,6mm,Zn,P63/mmc,N,P63/mmc
ZnN,m-3m,Zn,P63/mmc,N,P63/mmc
Zn3N,4/mmm,Zn,P63/mmc,N,P63/mmc
ZnN,m-3m,Zn,P63/mmc,N,P63/mmc
ZnNi,4/mmm,Zn,P63/mmc,Ni,Fm-3m
ZnNi,m-3m,Zn,P63/mmc,Ni,Fm-3m
ZnNi,-43m,Zn,P63/mmc,Ni,Fm-3m
ZnO,6mm,Zn,P63/mmc,O,C12/m1
ZnO,-43m,Zn,P63/mmc,O,C12/m1
ZnO2,m-3,Zn,P63/mmc,O,C12/m1
ZnO,m-3m,Zn,P63/mmc,O,C12/m1
ZnO,6/mmm,Zn,P63/mmc,O,C12/m1
ZnO,6mm,Zn,P63/mmc,O,C12/m1
ZnO,m-3m,Zn,P63/mmc,O,C12/m1
Zn3Os,4/mmm,Zn,P63/mmc,Os,P63/mmc
Zn3P2,4/mmm,Zn,P63/mmc,P,P-1
ZnP2,422,Zn,P63/mmc,P,P-1
ZnP4,422,Zn,P63/mmc,P,P-1
Zn3P2,m-3m,Zn,P63/mmc,P,P-1
ZnP,6mm,Zn,P63/mmc,P,P-1
ZnPd,4/mmm,Zn,P63/mmc,Pd,Fm-3m
Zn3Pd,4/mmm,Zn,P63/mmc,Pd,Fm-3m
ZnPd3,4/mmm,Zn,P63/mmc,Pd,Fm-3m
ZnPd3,6/mmm,Zn,P63/mmc,Pd,Fm-3m
ZnPt,4/mmm,Zn,P63/mmc,Pt,Fm-3m
Zn3Pt,4/mmm,Zn,P63/mmc,Pt,Fm-3m
ZnPt3,m-3m,Zn,P63/mmc,Pt,Fm-3m
ZnRh,m-3m,Zn,P63/mmc,Rh,Fm-3m
Zn3Rh,4/mmm,Zn,P63/mmc,Rh,Fm-3m
Zn13Rh,2/m,Zn,P63/mmc,Rh,Fm-3m
ZnRh3,4/mmm,Zn,P63/mmc,Rh,Fm-3m
Zn3Rh,6/mmm,Zn,P63/mmc,Rh,Fm-3m
Zn3Ru,4/mmm,Zn,P63/mmc,Ru,P63/mmc
ZnS,-43m,Zn,P63/mmc,S,Fddd
ZnS,6mm,Zn,P63/mmc,S,Fddd
ZnS,6mm,Zn,P63/mmc,S,Fddd
ZnS,6mm,Zn,P63/mmc,S,Fddd
ZnS,6mm,Zn,P63/mmc,S,Fddd
ZnS,3m,Zn,P63/mmc,S,Fddd
ZnS,3m,Zn,P63/mmc,S,Fddd
ZnS,3m,Zn,P63/mmc,S,Fddd
ZnS,3m,Zn,P63/mmc,S,Fddd
ZnSb,mmm,Zn,P63/mmc,Sb,R-3m
ZnSb3,m-3m,Zn,P63/mmc,Sb,R-3m
ZnSe,-43m,Zn,P63/mmc,Se,P121/c1
ZnSe,6mm,Zn,P63/mmc,Se,P121/c1
ZnSe,4/mmm,Zn,P63/mmc,Se,P121/c1
ZnSi3,m-3m,Zn,P63/mmc,Si,Fd-3m
Zn3Sn,4/mmm,Zn,P63/mmc,Sn,I41/amd
ZnSn3,m-3m,Zn,P63/mmc,Sn,I41/amd
ZnTe,-43m,Zn,P63/mmc,Te,P3121
ZnTe,3,Zn,P63/mmc,Te,P3121
ZnTe,6mm,Zn,P63/mmc,Te,P3121
ZnTe,m-3m,Zn,P63/mmc,Te,P3121
GaAg2,-6m2,Ga,Cmca,Ag,Fm-3m
GaAg,m-3m,Ga,Cmca,Ag,Fm-3m
GaAs,-43m,Ga,Cmca,As,R-3m
GaAs,6mm,Ga,Cmca,As,R-3m
GaAs,m-3,Ga,Cmca,As,R-3m
GaAs,mm2,Ga,Cmca,As,R-3m
GaAs,4/mmm,Ga,Cmca,As,R-3m
Ga2Au,m-3m,Ga,Cmca,Au,Fm-3m
Ga3Au,m-3m,Ga,Cmca,Au,Fm-3m
Ga3B,m-3m,Ga,Cmca,B,R-3m
GaBi,-43m,Ga,Cmca,Bi,C12/m1
Ga3Bi,m-3m,Ga,Cmca,Bi,C12/m1
GaBr3,2/m,Ga,Cmca,Br,Cmca
GaCl2,mmm,Ga,Cmca,Cl,Cmca
GaCl3,2/m,Ga,Cmca,Cl,Cmca
GaCo,m-3m,Ga,Cmca,Co,P63/mmc
Ga2Cu,4/mmm,Ga,Cmca,Cu,Fm-3m
GaCu3,6/mmm,Ga,Cmca,Cu,Fm-3m
GaFe3,m-3m,Ga,Cmca,Fe,Im-3m
Ga3Fe,4/mmm,Ga,Cmca,Fe,Im-3m
GaFe3,m-3m,Ga,Cmca,Fe,Im-3m
Ga3Ge,m-3m,Ga,Cmca,Ge,Fm-3m
GaI3,2/m,Ga,Cmca,I,Cmca
GaIr,m-3m,Ga,Cmca,Ir,Fm-3m
GaN,6mm,Ga,Cmca,N,P63/mmc
GaN,-43m,Ga,Cmca,N,P63/mmc
GaN,6/mmm,Ga,Cmca,N,P63/mmc
GaN,m-3m,Ga,Cmca,N,P63/mmc
Ga3Ni2,-3m,Ga,Cmca,Ni,Fm-3m
GaNi3,m-3m,Ga,Cmca,Ni,Fm-3m
Ga4Ni3,m-3m,Ga,Cmca,Ni,Fm-3m
GaNi2,6/mmm,Ga,Cmca,Ni,Fm-3m
GaNi,m-3m,Ga,Cmca,Ni,Fm-3m
Ga2O3,2/m,Ga,Cmca,O,C12/m1
Ga2O3,mmm,Ga,Cmca,O,C12/m1
GaP,-43m,Ga,Cmca,P,P-1
GaP,6mm,Ga,Cmca,P,P-1
GaP,4/mmm,Ga,Cmca,P,P-1
GaPd2,mmm,Ga,Cmca,Pd,Fm-3m
Ga3Pd7,2/m,Ga,Cmca,Pd,Fm-3m
GaPt,23,Ga,Cmca,Pt,Fm-3m
Ga2Pt,m-3m,Ga,Cmca,Pt,Fm-3m
Ga3Pt2,-3m,Ga,Cmca,Pt,Fm-3m
GaPt3,m-3m,Ga,Cmca,Pt,Fm-3m
GaRh,m-3m,Ga,Cmca,Rh,Fm-3m
GaRu,m-3m,Ga,Cmca,Ru,P63/mmc
Ga2S3,m,Ga,Cmca,S,Fddd
GaS,6/mmm,Ga,Cmca,S,Fddd
GaS,6/mmm,Ga,Cmca,S,Fddd
GaS,-3m,Ga,Cmca,S,Fddd
GaSb,-43m,Ga,Cmca,Sb,R-3m
GaSb,6mm,Ga,Cmca,Sb,R-3m
GaSe,-6m2,Ga,Cmca,Se,P121/c1
Ga2Se3,m,Ga,Cmca,Se,P121/c1
GaSe,6/mmm,Ga,Cmca,Se,P121/c1
GaSe,3m,Ga,Cmca,Se,P121/c1
GaSi3,m-3m,Ga,Cmca,Si,Fd-3m
Ga2Te3,m,Ga,Cmca,Te,P3121
GaTe,6/mmm,Ga,Cmca,Te,P3121
Ga2Te5,4/m,Ga,Cmca,Te,P3121
GaTe,2/m,Ga,Cmca,Te,P3121
GeAs2,mmm,Ge,Fm-3m,As,R-3m
GeAs,2/m,Ge,Fm-3m,As,R-3m
Ge3As4,-43m,Ge,Fm-3m,As,R-3m
GeAs,4mm,Ge,Fm-3m,As,R-3m
GeAs3,4/mmm,Ge,Fm-3m,As,R-3m
Ge3B,m-3m,Ge,Fm-3m,B,R-3m
GeC,m-3m,Ge,Fm-3m,C,P63/mmc
Ge3C,6/mmm,Ge,Fm-3m,C,P63/mmc
GeF2,222,Ge,Fm-3m,F,C12/c1
Ge7Ir3,m-3m,Ge,Fm-3m,Ir,Fm-3m
Ge4Ir,32,Ge,Fm-3m,Ir,Fm-3m
Ge2Mo,4/mmm,Ge,Fm-3m,Mo,Im-3m
Ge3N4,3m,Ge,Fm-3m,N,P63/mmc
Ge3N4,6/m,Ge,Fm-3m,N,P63/mmc
Ge3N2,m-3m,Ge,Fm-3m,N,P63/mmc
GeO2,32,Ge,Fm-3m,O,C12/m1
GeO2,422,Ge,Fm-3m,O,C12/m1
GeO2,4/mmm,Ge,Fm-3m,O,C12/m1
GeO2,mmm,Ge,Fm-3m,O,C12/m1
GeO2,m-3,Ge,Fm-3m,O,C12/m1
Ge2O3,m-3m,Ge,Fm-3m,O,C12/m1
GeP3,-3m,Ge,Fm-3m,P,P-1
GeP,-43m,Ge,Fm-3m,P,P-1
GePd2,-6m2,Ge,Fm-3m,Pd,Fm-3m
GePd,mmm,Ge,Fm-3m,Pd,Fm-3m
GePt,mmm,Ge,Fm-3m,Pt,Fm-3m
Ge2Pt,mmm,Ge,Fm-3m,Pt,Fm-3m
GePt2,-6m2,Ge,Fm-3m,Pt,Fm-3m
GeRh2,mmm,Ge,Fm-3m,Rh,Fm-3m
GeRh,23,Ge,Fm-3m,Rh,Fm-3m
GeRu,23,Ge,Fm-3m,Ru,P63/mmc
GeS,mmm,Ge,Fm-3m,S,Fddd
GeS2,-42m,Ge,Fm-3m,S,Fddd
GeS,mmm,Ge,Fm-3m,S,Fddd
GeSb,m-3m,Ge,Fm-3m,Sb,R-3m
Ge3Sb,m-3m,Ge,Fm-3m,Sb,R-3m
Ge3Sb,m-3m,Ge,Fm-3m,Sb,R-3m
GeSe,m-3m,Ge,Fm-3m,Se,P121/c1
GeSe2,-42m,Ge,Fm-3m,Se,P121/c1
GeSe,mmm,Ge,Fm-3m,Se,P121/c1
GeTe,3m,Ge,Fm-3m,Te,P3121
GeTe,m-3m,Ge,Fm-3m,Te,P3121
GeTe,m-3m,Ge,Fm-3m,Te,P3121
Ge2W,4/mmm,Ge,Fm-3m,W,Im-3m
AsBr3,222,As,R-3m,Br,Cmca
As4C3,-43m,As,R-3m,C,P63/mmc
AsCl3,222,As,R-3m,Cl,Cmca
As3Ir,m-3,As,R-3m,Ir,Fm-3m
As2Ir,2/m,As,R-3m,Ir,Fm-3m
As2O3,2/m,As,R-3m,O,C12/m1
As2O5,422,As,R-3m,O,C12/m1
As2Os,mmm,As,R-3m,Os,P63/mmc
AsPd5,2/m,As,R-3m,Pd,Fm-3m
AsPd2,mm2,As,R-3m,Pd,Fm-3m
As2Pd,m-3,As,R-3m,Pd,Fm-3m
As2Pt,m-3,As,R-3m,Pt,Fm-3m
As3Rh,m-3,As,R-3m,Rh,Fm-3m
As2Rh,2/m,As,R-3m,Rh,Fm-3m
AsRh2,m-3m,As,R-3m,Rh,Fm-3m
AsRh,mmm,As,R-3m,Rh,Fm-3m
As2Ru,mmm,As,R-3m,Ru,P63/mmc
As2Se3,2/m,As,R-3m,Se,P121/c1
As3W2,2/m,As,R-3m,W,Im-3m
SeBr3,4/mmm,Se,P121/c1,Br,Cmca
SeCl,2/m,Se,P121/c1,Cl,Cmca
SeO3,-42m,Se,P121/c1,O,C12/m1
BrCl,6mm,Br,Cmca,Cl,Cmca
BrF3,mm2,Br,Cmca,F,C12/c1
Br3N,m-3m,Br,Cmca,N,P63/mmc
Br2O,mm2,Br,Cmca,O,C12/m1
KrF2,4/mmm,Kr,Fm-3m,F,C12/c1
Rb3Ac,4/mmm,Rb,Im-3m,Ac,Fm-3m
RbAl,m-3m,Rb,Im-3m,Al,Fm-3m
Rb2As3,mmm,Rb,Im-3m,As,R-3m
Rb3As,6/mmm,Rb,Im-3m,As,R-3m
Rb3Au7,mmm,Rb,Im-3m,Au,Fm-3m
RbAu5,6/mmm,Rb,Im-3m,Au,Fm-3m
Rb3Ba,4/mmm,Rb,Im-3m,Ba,Im-3m
RbBi2,m-3m,Rb,Im-3m,Bi,C12/m1
Rb3Bi,m-3m,Rb,Im-3m,Bi,C12/m1
RbBr,m-3m,Rb,Im-3m,Br,Cmca
Rb3Ca,4/mmm,Rb,Im-3m,Ca,Fm-3m
RbCa3,4/mmm,Rb,Im-3m,Ca,Fm-3m
RbCa3,m-3m,Rb,Im-3m,Ca,Fm-3m
RbCa3,m-3m,Rb,Im-3m,Ca,Fm-3m
Rb3Cd,m-3m,Rb,Im-3m,Cd,P63/mmc
RbCl,m-3m,Rb,Im-3m,Cl,Cmca
RbCl,m-3m,Rb,Im-3m,Cl,Cmca
Rb3Co,m-3m,Rb,Im-3m,Co,P63/mmc
RbF,m-3m,Rb,Im-3m,F,C12/c1
RbF3,m-3m,Rb,Im-3m,F,C12/c1
RbGe3,6/mmm,Rb,Im-3m,Ge,Fm-3m
RbH,m-3m,Rb,Im-3m,H,P63/mmc
Rb3Hf,4/mmm,Rb,Im-3m,Hf,P63/mmc
RbHg2,mmm,Rb,Im-3m,Hg,R-3m
Rb3Hg,m-3m,Rb,Im-3m,Hg,R-3m
RbI,m-3m,Rb,Im-3m,I,Cmca
RbI,m-3m,Rb,Im-3m,I,Cmca
RbIn4,4/mmm,Rb,Im-3m,In,I4/mmm
Rb3In,4/mmm,Rb,Im-3m,In,I4/mmm
Rb3In,m-3m,Rb,Im-3m,In,I4/mmm
Rb3Ir,m-3m,Rb,Im-3m,Ir,Fm-3m
Rb3Li,m-3m,Rb,Im-3m,Li,Im-3m
Rb3Li,m-3m,Rb,Im-3m,Li,Im-3m
Rb3Mg,4/mmm,Rb,Im-3m,Mg,P63/mmc
Rb3Mo,4/mmm,Rb,Im-3m,Mo,Im-3m
RbN3,4/mmm,Rb,Im-3m,N,P63/mmc
RbN3,4/mmm,Rb,Im-3m,N,P63/mmc
Rb3Na,m-3m,Rb,Im-3m,Na,Im-3m
Rb3Na,m-3m,Rb,Im-3m,Na,Im-3m
Rb2O,-3m,Rb,Im-3m,O,C12/m1
RbO2,4/mmm,Rb,Im-3m,O,C12/m1
Rb2O,m-3m,Rb,Im-3m,O,C12/m1
Rb3Os,m-3m,Rb,Im-3m,Os,P63/mmc
Rb2P3,mmm,Rb,Im-3m,P,P-1
Rb3Pb,m-3m,Rb,Im-3m,Pb,Fm-3m
RbPr3,4/mmm,Rb,Im-3m,Pr,P63/mmc
Rb3Ru,m-3m,Rb,Im-3m,Ru,P63/mmc
Rb2S,m-3m,Rb,Im-3m,S,Fddd
RbSb2,2/m,Rb,Im-3m,Sb,R-3m
Rb3Sb,m-3m,Rb,Im-3m,Sb,R-3m
RbSb,m-3m,Rb,Im-3m,Sb,R-3m
RbSb,-43m,Rb,Im-3m,Sb,R-3m
Rb2Se,m-3m,Rb,Im-3m,Se,P121/c1
RbSe,-6m2,Rb,Im-3m,Se,P121/c1
Rb3Sm,m-3m,Rb,Im-3m,Sm,R-3m
RbSn3,6/mmm,Rb,Im-3m,Sn,I41/amd
Rb3Sn,m-3m,Rb,Im-3m,Sn,I41/amd
RbSr3,4/mmm,Rb,Im-3m,Sr,Fm-3m
Rb3Sr,m-3m,Rb,Im-3m,Sr,Fm-3m
Rb3Tc,4/mmm,Rb,Im-3m,Tc,P63/mmc
Rb2Te,m-3m,Rb,Im-3m,Te,P3121
RbTl3,m-3m,Rb,Im-3m,Tl,P63/mmc
Rb3V,m-3m,Rb,Im-3m,V,Im-3m
RbYb3,m-3m,Rb,Im-3m,Yb,Fm-3m
RbYb3,m-3m,Rb,Im-3m,Yb,Fm-3m
SrAc3,4/mmm,Sr,Fm-3m,Ac,Fm-3m
Sr3Ag2,-3,Sr,Fm-3m,Ag,Fm-3m
SrAg2,mmm,Sr,Fm-3m,Ag,Fm-3m
SrAg,mmm,Sr,Fm-3m,Ag,Fm-3m
SrAg5,6/mmm,Sr,Fm-3m,Ag,Fm-3m
SrAl4,4/mmm,Sr,Fm-3m,Al,Fm-3m
SrAl2,mmm,Sr,Fm-3m,Al,Fm-3m
SrAl2,m-3m,Sr,Fm-3m,Al,Fm-3m
SrAs3,2/m,Sr,Fm-3m,As,R-3m
Sr2As,4/mmm,Sr,Fm-3m,As,R-3m
SrAu5,6/mmm,Sr,Fm-3m,Au,Fm-3m
SrB6,m-3m,Sr,Fm-3m,B,R-3m
SrBi3,m-3m,Sr,Fm-3m,Bi,C12/m1
Sr3Bi2,m-3m,Sr,Fm-3m,Bi,C12/m1
SrBr2,mmm,Sr,Fm-3m,Br,Cmca
SrC2,2/m,Sr,Fm-3m,C,P63/mmc
SrC2,4/mmm,Sr,Fm-3m,C,P63/mmc
SrC2,-3m,Sr,Fm-3m,C,P63/mmc
SrCl2,m-3m,Sr,Fm-3m,Cl,Cmca
Sr3Cr,m-3m,Sr,Fm-3m,Cr,Im-3m
SrCu5,6/mmm,Sr,Fm-3m,Cu,Fm-3m
SrF2,m-3m,Sr,Fm-3m,F,C12/c1
SrGa2,6/mmm,Sr,Fm-3m,Ga,Cmca
SrGe2,-3m,Sr,Fm-3m,Ge,Fm-3m
SrH2,mmm,Sr,Fm-3m,H,P63/mmc
SrH3,m-3m,Sr,Fm-3m,H,P63/mmc
SrHg,m-3m,Sr,Fm-3m,Hg,R-3m
SrHg2,6/mmm,Sr,Fm-3m,Hg,R-3m
SrI2,mmm,Sr,Fm-3m,I,Cmca
Sr3In,m-3m,Sr,Fm-3m,In,I4/mmm
SrIr2,m-3m,Sr,Fm-3m,Ir,Fm-3m
Sr3Li,4/mmm,Sr,Fm-3m,Li,Im-3m
SrMg2,6/mmm,Sr,Fm-3m,Mg,P63/mmc
SrMg5,6/mmm,Sr,Fm-3m,Mg,P63/mmc
SrMg,m-3m,Sr,Fm-3m,Mg,P63/mmc
Sr2N,-3m,Sr,Fm-3m,N,P63/mmc
SrN,2/m,Sr,Fm-3m,N,P63/mmc
SrN2,4/mmm,Sr,Fm-3m,N,P63/mmc
Sr3N2,m-3,Sr,Fm-3m,N,P63/mmc
Sr3N2,m-3m,Sr,Fm-3m,N,P63/mmc
SrO,m-3m,Sr,Fm-3m,O,C12/m1
SrO2,4/mmm,Sr,Fm-3m,O,C12/m1
SrO,m-3m,Sr,Fm-3m,O,C12/m1
SrP,-6m2,Sr,Fm-3m,P,P-1
SrPd5,6/mmm,Sr,Fm-3m,Pd,Fm-3m
SrPd2,m-3m,Sr,Fm-3m,Pd,Fm-3m
SrPt2,m-3m,Sr,Fm-3m,Pt,Fm-3m
SrPt5,6/mmm,Sr,Fm-3m,Pt,Fm-3m
SrRh2,m-3m,Sr,Fm-3m,Rh,Fm-3m
SrS,m-3m,Sr,Fm-3m,S,Fddd
SrS,m-3m,Sr,Fm-3m,S,Fddd
SrSb2,2/m,Sr,Fm-3m,Sb,R-3m
Sr2Sb,4/mmm,Sr,Fm-3m,Sb,R-3m
SrSe,m-3m,Sr,Fm-3m,Se,P121/c1
SrSi2,4/mmm,Sr,Fm-3m,Si,Fd-3m
SrSi,mmm,Sr,Fm-3m,Si,Fd-3m
SrSi2,432,Sr,Fm-3m,Si,Fd-3m
SrSi,mmm,Sr,Fm-3m,Si,Fd-3m
Sr2Si,6/mmm,Sr,Fm-3m,Si,Fd-3m
SrSi,m-3m,Sr,Fm-3m,Si,Fd-3m
SrSn,mmm,Sr,Fm-3m,Sn,I41/amd
SrTe,m-3m,Sr,Fm-3m,Te,P3121
SrTl2,6/mmm,Sr,Fm-3m,Tl,P63/mmc
SrTl,m-3m,Sr,Fm-3m,Tl,P63/mmc
Sr3Yb,m-3m,Sr,Fm-3m,Yb,Fm-3m
SrZn,mmm,Sr,Fm-3m,Zn,P63/mmc
SrZn2,mmm,Sr,Fm-3m,Zn,P63/mmc
SrZn5,6/mmm,Sr,Fm-3m,Zn,P63/mmc
SrZn2,6/mmm,Sr,Fm-3m,Zn,P63/mmc
YAg,m-3m,Y,P63/mmc,Ag,Fm-3m
Y2Al,mmm,Y,P63/mmc,Al,Fm-3m
Y3Al2,4/mmm,Y,P63/mmc,Al,Fm-3m
Y3Al,m-3m,Y,P63/mmc,Al,Fm-3m
YAl3,6/mmm,Y,P63/mmc,Al,Fm-3m
YAl2,m-3m,Y,P63/mmc,Al,Fm-3m
YAl3,-3m,Y,P63/mmc,Al,Fm-3m
YAl,mmm,Y,P63/mmc,Al,Fm-3m
YAl,m-3m,Y,P63/mmc,Al,Fm-3m
YAl3,m-3m,Y,P63/mmc,Al,Fm-3m
YAl3,6/mmm,Y,P63/mmc,Al,Fm-3m
YAs,m-3m,Y,P63/mmc,As,R-3m
YAs,m-3m,Y,P63/mmc,As,R-3m
YAu,m-3m,Y,P63/mmc,Au,Fm-3m
YBi,m-3m,Y,P63/mmc,Bi,C12/m1
YBr3,2/m,Y,P63/mmc,Br,Cmca
YBr2,4/mmm,Y,P63/mmc,Br,Cmca
Y2C,-3m,Y,P63/mmc,C,P63/mmc
Y2C3,-43m,Y,P63/mmc,C,P63/mmc
Y4C5,mmm,Y,P63/mmc,C,P63/mmc
YC2,4/mmm,Y,P63/mmc,C,P63/mmc
YC,m-3m,Y,P63/mmc,C,P63/mmc
YC,-43m,Y,P63/mmc,C,P63/mmc
YC,m-3m,Y,P63/mmc,C,P63/mmc
YCd3,mmm,Y,P63/mmc,Cd,P63/mmc
YCd2,6/mmm,Y,P63/mmc,Cd,P63/mmc
YCd,m-3m,Y,P63/mmc,Cd,P63/mmc
YCd3,m-3m,Y,P63/mmc,Cd,P63/mmc
Y2Cl3,2/m,Y,P63/mmc,Cl,Cmca
YCl3,2/m,Y,P63/mmc,Cl,Cmca
YCo,-3m,Y,P63/mmc,Co,P63/mmc
YCo2,m-3m,Y,P63/mmc,Co,P63/mmc
YCo,mmm,Y,P63/mmc,Co,P63/mmc
YCo3,-3m,Y,P63/mmc,Co,P63/mmc
YCo5,6/mmm,Y,P63/mmc,Co,P63/mmc
YCu2,mmm,Y,P63/mmc,Cu,Fm-3m
YCu5,6/mmm,Y,P63/mmc,Cu,Fm-3m
YCu,m-3m,Y,P63/mmc,Cu,Fm-3m
YF3,m-3m,Y,P63/mmc,F,C12/c1
YFe2,m-3m,Y,P63/mmc,Fe,Im-3m
YFe5,6/mmm,Y,P63/mmc,Fe,Im-3m
YGa3,m-3m,Y,P63/mmc,Ga,Cmca
YGa2,6/mmm,Y,P63/mmc,Ga,Cmca
YGe,mmm,Y,P63/mmc,Ge,Fm-3m
YGe3,mmm,Y,P63/mmc,Ge,Fm-3m
YGe2,4/mmm,Y,P63/mmc,Ge,Fm-3m
YH2,m-3m,Y,P63/mmc,H,P63/mmc
YHg3,6/mmm,Y,P63/mmc,Hg,R-3m
YHg,m-3m,Y,P63/mmc,Hg,R-3m
YHg2,6/mmm,Y,P63/mmc,Hg,R-3m
Y2In,6/mmm,Y,P63/mmc,In,I4/mmm
YIn,m-3m,Y,P63/mmc,In,I4/mmm
YIn3,m-3m,Y,P63/mmc,In,I4/mmm
YIr2,m-3m,Y,P63/mmc,Ir,Fm-3m
YIr,m-3m,Y,P63/mmc,Ir,Fm-3m
Y2Mg,mmm,Y,P63/mmc,Mg,P63/mmc
